index,record,family.income,NLKH.income,plant,plant.type,intercropping,area,plant.number,plant.year,yield,plant.price,income.individual,income.total,fer.annual,chem.annual,labor.annual,harvest.annual,cost.indi,cost.total,seedling.ini,fer.ini,chem.ini,labor.ini,cost.ini.indi,cost.ini.total,harvest.time
x,2318,80,45,mit,aq,1,1.8,45,1945,2,4,8,40.2,,,home,,,,0,,,home,,,4
x,2318,80,,xoai,aq,1,1.8,30,1945,1.5,5,7.5,40.2,,,home,,,,0,,,home,,,8
y,2318,80,,tam vong,ln,1,0.5,500,2000,500,25,12.5,40.2,,,home,,,6.2,0,,,home,,,6
y,2318,80,,chuoi,aq,1,0.5,40,2015,0.3,,4,40.2,,,home,,,6.2,0,,,home,,,0
z,2318,80,,dao,ln,1,0.7,500,1945,0.3,19,5.7,40.2,,,home,,,0.3,0,,,home,,,3
z,2318,80,,tam vong,ln,1,0.7,100,2000,100,25,2.5,40.2,,,home,,,0.3,0,,,home,,,
102,2319,136,100,xoai,aq,1,3,400,1998,1.1,30,40,100,,,home,2,2,5,3.5,2,12,3,20.5,,6
102,2319,136,100,buoi,aq,1,3,500,2016,1.2,45,60,100,2.5,0.5,home,,3,5,10,2.5,0,home,12.5,,
103,2404,120,20,xoai c,aq,1,0.6,60,1997,0.5,20,10,20,4,10,home,,14,17,,,,home,,,9
103,2404,120,20,chuoi,aq,1,0.6,50,1997,0.5,10,5,20,1,0,home,,1,17,,,,home,,,1 12
103,2404,120,20,mang cau,aq,1,0.6,30,1997,0.5,10,5,20,1,1,home,,2,17,,,,home,,,7 8
103,2404,120,20,sao,ln,1,0.6,90,1990,0,,,20,0,0,home,,,17,,,,home,,,
104,2405,0,0,buoi,aq,1,3.4,850,2015,0,,,,37,12,home,,49,49,20,37,12,home,69,69,1 12
104,2405,0,0,sao,ln,1,3.4,,1997,0,,,,,,home,,0,49,,,,home,,69,
68,2406,0,0,buoi,aq,1,2.5,,2017,0,,0,0,2,0,home,0,2,2,5,2,0,home,,7,
68,2406,0,0,toc,ln,1,2.5,,2002,,,0,0,0,0,home,0,0,2,0,0,0,home,,7,
69,2407,132,32,cam,aq,1,1.7,1000,2012,0,,,32,,,home,,,11,,,,home,,41,
69,2407,132,32,bo,aq,1,1.7,100,2005,1.28,25,32,32,,,home,,,11,,,,home,,41,5 6 
69,2407,132,32,quyt,aq,1,1.7,500,2012,0,,,32,,,home,,,11,,,,home,,41,
69,2407,132,32,toc,ln,1,1.7,,2007,0,,,32,,,home,,0,11,,,,home,,41,
70,2408,100,3,toc,ln,1,3,,2014,0,,0,3,,,home,,,15,0,,,home,,28.5,
70,2408,100,3,buoi,aq,1,3,500,2016,0,30,0,3,,,home,,,15,8.5,,,home,,28.5,12
70,2408,100,3,bo,aq,1,3,100,2017,0.15,20,3,3,,,home,3,,15,2.5,,,home,,28.5,6
70,2408,100,3,cam,aq,1,3,100,2017,0,10,0,3,,,home,,,15,2.5,,,home,,28.5,1
71,2409,75,4,toc,ln,1,2,44,2000,0,,0,4,,,home,,0,11.3,0,,,home,,27.8,
71,2409,75,4,sao,ln,1,2,44,2014,0,,0,4,,,home,,0,11.3,0,,,home,,27.8,
71,2409,75,4,buoi,aq,1,2,300,2016,0,,0,4,,,home,,6.8,11.3,10,,,home,,27.8,12
71,2409,75,4,dua,aq,1,2,30,2017,200,10,2,4,,,home,,2,11.3,0.3,,,home,,27.8,1 2
71,2409,75,4,quyt,aq,1,2,100,2017,0.2,10,2,4,,,home,,2.5,11.3,2.5,,,home,,27.8,12
72,2410,60,60,sao,ln,1,6,,1998,0,,0,60,,,home,,,4.5,30,,,home,,31.5,
72,2410,60,60,tam vong,ln,1,6,500,1995,6000,20,120,60,,,home,,,4.5,,,,home,,31.5,10 11
72,2410,60,60,xoai tc,aq,1,6,150,1945,0,,0,60,,,home,,,4.5,,,,home,,31.5,
73,2411,100,0,cam,aq,1,1.7,1000,2017,0,,0,0,,,home,,,15,6,,,home,,22,11 12
73,2411,100,0,buoi,aq,1,1.7,600,2017,0,,0,0,,,home,,,15,16,,,home,,22,12
73,2411,100,0,sao,ln,1,1.7,,1997,0,,0,0,,,home,,,15,0,,,home,,22,
74,2412,70,10,sao,ln,1,1,30,1999,0,,0,10,0,0,home,0,,5,0,0,0,home,,18.5,
74,2412,70,10,tam vong,ln,1,1,1000,2014,500,20,10,10,0,0,home,5,,5,15,1.5,2,home,,18.5,11 12
75,2413,90,0,cam,aq,1,0.4,300,2016,0,,0,0,,,home,,,8,,,,home,,17,1 12
75,2413,90,0,quyt,aq,1,0.4,300,2016,0,,0,0,,,home,,,8,,,,home,,17,2 12
76,2414,120,19,xoai c,aq,1,1.3,200,2012,,30,10,19,,,home,,,12.5,,,,home,,24,7
76,2414,120,19,xoai tc,aq,1,1.3,100,1989,,15,9,19,,,home,,,12.5,,,,home,,24,9
55,2500,20,0,xoai c,aq,1,3,300,2016,,,0,0,,,home,,3.6,9.6,,,,home,,12.6,
55,2500,20,0,nghe,dl,1,3,,,,,0,0,,,home,,6,9.6,,,,home,,12.6,
56,2501,,0,buoi,aq,1,0.5,100,2017,0,,0,0,,,home,,0,0,,,,home,,11,
56,2501,,0,gio bau,ln,1,0.5,1000,2002,,,0,0,,,home,,0,0,,,,home,,11,
57,2502,,0,xoai c,aq,1,2,600,2018,,,0,0,,,home,,12,12,,,,home,,18,
57,2502,,0,mit,aq,1,2,,,,,0,0,,,home,,0,0,,,,home,,18,
58,2503,,,buoi,aq,1,2,600,2014,0,,,0,,,home,,,16,,,,home,,20,1 2
58,2503,,,sau rieng,aq,1,2,200,2014,,,,0,,,home,,,16,,,,home,,20,8
59,2504,,,xoai b,aq,1,2.7,200,1994,,,,,,,home,,,,,,,home,,,4 5
59,2504,,,nghe,dl,1,2.7,,2019,,,,,,,home,,,,,,,home,,,6 7
60,2505,75,17,mit,aq,1,200,,2002,3.4,3,10,17,,,home,home,8,11,,,,home,,17,3 4
60,2505,75,17,nghe,dl,1,,,2002,1,7,7,17,,,home,home,3,11,,,,home,,17,6 7
61,2506,,,xoai b,aq,1,,,,,,,,,,home,,,,,,,home,,,
61,2506,,,ngai bun,rau,1,,,,,,,,,,home,,,,,,,home,,,
61,2506,,,giang huong,ln,1,,,,,,,,,,home,,,,,,,home,,,
62,2507,25,17.5,gio bau,ln,1,7,2800,,,,,,,,home,,,,,,,home,,,
62,2507,25,17.5,sau rieng,aq,1,7,,,,80,,,,,home,,,,,,,home,,5 6,
62,2507,25,17.5,buoi,aq,1,7,,,,35,,,,,home,,,,,,,home,,11 12,
62,2507,25,17.5,cam,aq,1,7,,,,15,,,,,home,,,,,,,home,,11 12,
62,2507,25,17.5,bo,aq,1,7,,,,20,,,,,home,,,,,,,home,,5 6,
63,2508,5,2.5,xoai b,aq,1,0.4,,,,,,,,,home,,,,,,,home,,,
63,2508,5,2.5,xoai c,aq,1,0.4,,,,,,,,,home,,,,,,,home,,,
64,2508,5,2.5,chuoi,aq,0,0.6,,,,,,,,,home,,,,,,,home,,,
65,2508,5,2.5,nghe,dl,0,0.5,,,,,,,,,home,,,,,,,home,,,
66,2509,10,10,buoi,aq,1,1.8,300,2015,0,40,,10,,,home,,,,,,,home,,,
66,2509,10,10,mang cau,aq,1,1.8,1000,2017,0,9,,10,,,home,,,,,,,home,,,
66,2509,10,10,xoai dl,aq,1,1.8,20,2015,,10,,10,,,home,,,,,,,home,,,
67,2510,,,buoi,aq,1,2,,2017,0,20,,,,,home,,,,,,,home,,,
67,2510,,,quyt,aq,1,1,,2017,,,,,,,home,,,,,,,home,,,
37,3118,30,,xoai k,aq,1,1,120,2018,0,,,,,,home,,,,1.8,2.5,,home,,,
37,3118,30,,cu lun,dl,1,1,,2017,0.7,6,4.2,,,,home,,,,0,1.2,,home,,,
36,3119,60,,xoai k,aq,1,0.6,70,2017,0,,,,,,home,,1.2,2,2.1,0.65,,0.4,,3.15,
36,3119,60,,xoai tc,aq,1,0.6,8,1980,1,,,,,,home,,1.2,,,,,home,,3.15,
x,3119,60,,xoai dl,aq,2,0.15,100,2012,,,,,,,home,,2.8,,2.5,2,,0.8,5.3,5.3,
30,3120,110,85,xoai tc,aq,1,1,50,1980,,,,60,,,home,,,3,,,,home,,,3
30,3120,110,85,mit,aq,1,1,30,1980,,,,60,,,home,,,3,,,,home,,,4 5 6
30,3120,110,85,chuoi,aq,1,1,300,2018,,,,60,,,home,,,3,,,,home,,,1 12
30,3120,110,85,xoai k,aq,2,0.8,150,2013,,,,15,,,home,,,3,3.9,1.3,,1.2,6.4,,9 10
x,3121,20,0,xoai k,aq,1,1,300,2017,,,,,,,home,,,,9,0.65,,home,,,
x,3121,20,0,xoai tc,aq,1,1,10,2017,,,,,,,home,,,,,,,home,,,
34,3122,,,xoai dl,aq,1,0.54,400,2016,0,,,,,,home,,,,12,,,home,,,
34,3122,,,quyt,aq,1,0.54,220,2016,0,,,,,,home,,,,3.96,,,home,,,
34,3122,,,mang cau,aq,1,0.54,70,2016,0,,,,,,home,,,,0.21,,,home,,,
35,3122,,,xoai k,aq,1,0.26,100,2016,0,,,,,,home,,,,,,,home,,,
35,3122,,,quyt,aq,1,0.26,300,2016,0,,,,,,home,,,,,,,home,,,
35,3122,,,mang cau,aq,1,0.26,100,2016,0,,,,,,home,,,,,,,home,,,
32,3212,28,28,tam vong,ln,1,0.6,,2002,,,20,,,,home,,,,,,,home,,,
